ZipCode,City,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White,Predominant race,Population,Unemployment Rate,Total population of state
49560,GRAND RAPIDS,MI,12.41,12.9,8.08,13.54,21.82,40.0,23.44,25.27,13.97,17.58,22.1,2.79,1008.0,157300.0,53529.0,16.9,39.2,0.535,0.778333333,3.344166667,94.49666667,White,0,6.5,9861637
49588,GRAND RAPIDS,MI,19.43,11.61,11.86,13.28,8.03,32.0,35.8,17.23,4.71,17.81,25.65,2.91,1291.0,198300.0,86768.0,16.9,26.3,0.562857143,0.582857143,3.144285714,96.72285714,White,0,3.3,9861637
49601,CADILLAC,MI,11.75636364,10.86181818,13.12636364,15.10272727,19.25454545,42.90909091,11.14272727,38.67727273,11.30909091,5.1,33.91272727,2.445454545,719.8181818,99945.45455,44292.81818,17.72727273,31.05454545,0.995,1.03375,2.42125,94.37,White,21236,6.9,9861637
49610,ACME,MI,13.06,7.46,13.67,20.06,26.18,53.0,27.27,19.29,1.81,21.42,30.23,2.63,933.0,258600.0,70714.0,17.6,26.8,0.581666667,0.576666667,2.33,96.995,White,0,1.8,9861637
49611,ALBA,MI,7.59,11.35,15.57,19.75,18.16,47.0,12.06,41.91,9.16,4.6,33.54,2.18,800.0,123700.0,50650.0,17.7,27.2,0.066666667,5.003333333,1.976666667,92.96666667,White,236,23.3,9861637
49612,ALDEN,MI,8.925,11.105,14.25,17.16,23.09,49.0,15.885,33.205,10.33,9.2,31.76,2.3,656.0,173250.0,56191.0,17.55,25.35,0.25,0.865,1.748333333,95.035,White,1121,5.3,9861637
49613,ARCADIA,MI,8.23,8.155,14.41,14.85,29.145,51.5,17.66,33.605,7.39,8.925,34.62,2.43,790.0,151200.0,51500.0,17.7,29.4,0.382,1.348,1.874,94.72399999999999,White,680,12.9,9861637
49614,BEAR LAKE,MI,6.985,9.03,13.95,18.13,28.555,53.0,15.2675,32.49,8.3975,9.0875,34.4875,2.3675,688.25,141175.0,51617.75,17.25,30.4,0.195,1.01,1.835,90.27,White,2790,7,9861637
49615,BELLAIRE,MI,7.21,9.745,13.1875,19.635,27.3925,52.0,19.285,32.1875,7.3225,10.155,32.0525,2.2125,662.75,172275.0,55697.5,17.875,25.875,0.195,0.0,0.475,94.985,White,4131,4.4,9861637
49616,BENZONIA,MI,8.924,8.932,13.012,17.416,29.934,52.6,17.044,33.97,7.916,10.626,31.246,2.2675,720.25,180200.0,53003.5,18.2,37.475,0.362,0.228,1.064,93.552,White,1974,7.1,9861637
49617,BEULAH,MI,9.7675,9.3075,13.1175,17.4225,27.0875,50.75,18.2475,32.315,6.8525,11.99,31.395,2.283333333,717.0,212800.0,60417.33332999999,18.4,37.9,0.485,0.586,1.317,96.751,White,3363,12,9861637
49618,BOON,MI,10.61,9.776666667,14.5,16.30333333,19.57666667,44.0,10.26666667,38.75,11.5,5.64,34.06666667,2.453333333,759.6666667000001,114266.6667,47303.66667,18.1,30.0,0.0225,0.305,1.4425,96.4425,White,761,3.9,9861637
49619,BRETHREN,MI,9.65,10.27,13.205,17.29,26.085,48.5,10.625,38.825,11.755,5.625,32.02,2.355,750.0,138650.0,53556.0,15.65,25.1,2.99,0.9,0.605,75.69,White,1110,12.9,9861637
49620,BUCKLEY,MI,11.925,12.945,14.44,15.395,14.93,40.5,9.38,38.77,9.815,4.515,38.405,2.51,886.5,132000.0,53164.0,18.15,28.95,0.631428571,0.388571429,1.317142857,95.03428571,White,2445,5.2,9861637
49621,CEDAR,MI,7.88,9.376666667,12.19,20.31333333,26.84333333,52.33333333,26.39333333,23.38666667,4.15,16.00333333,32.06,2.175,876.0,252500.0,60347.5,18.1,24.2,0.622,0.316,1.07,95.368,White,3096,7.4,9861637
49622,CENTRAL LAKE,MI,8.0325,9.1775,13.64,18.7,27.3725,51.5,18.3075,33.2475,7.0075,9.8975,32.4725,2.3425,718.0,158100.0,53116.75,18.6,26.825,0.5,1.02,1.95,74.79,White,2494,5.6,9861637
49623,CHASE,MI,8.795,9.245,12.78,18.42,24.435,49.5,6.85,42.23,19.78,3.565,28.215,2.54,673.5,80900.0,35267.5,17.5,43.75,0.343333333,0.24,0.98,94.19,White,1164,4.4,9861637
